"NUMBER","FWI","ISI","number_of_fire","Period","IA_Size","BH_Size","Status","Gap_BHIA","Fuel_type","Detection","Response_time","Month","Method","Gap_UCIA","Ex_Size","Gap","Growth","logIA_Size","logResp_time","sqlogIA_Size","sqlogResp_time","sqFWI","sqISI","logNumber_of_fire"
"E04055-1999",17,6,18,"PM",2.5,2.5,1,0.616666666666667,"C2","LKT",0.55,"6","Air",0.616666666666667,2.5,0,1,0.918288734536828,-0.588787165235702,0.843254199977249,0.346670325946294,289,36,2.89037175789616
"E04056-1999",17,7,18,"PM",2,250,1,91,"C2","LKT",0.1,"6","Air Tanker",91,250,248,0,0.695644060758532,-2.25379492882461,0.483920659268621,5.07959158119555,289,49,2.89037175789616
"E04056-2000",0,0,3,"AM",0.01,0.01,1,0.833333333333333,"C2","LKT",0.0666666666666667,"7","Air",0.916666666666667,0.01,0,1,-4.19970507787993,-2.63572953952258,17.6375227411704,6.94707020551193,0,0,1.09861228866811
"E04057-2000",2,1,3,"AM",0.01,0.01,1,0.36666666669978,"C2","LKT",0.449999999966886,"7","Air",0.7,0.01,0,1,-4.19970507787993,-0.787457860103964,17.6375227411704,0.620089881439514,4,1,1.09861228866811
"E04058-1999",16,6,18,"PM",0.2,0.2,1,4.41666666666667,"C2","LKT",0.283333333333333,"6","Air",4.41666666666667,0.2,0,1,-1.58474529984373,-1.24363806071837,2.51141766537679,1.54663562606734,256,36,2.89037175789616
"E04059-1999",18,5,18,"PM",1.2,1.5,1,14.7166666666336,"C2","LKT",0.583333333366447,"6","Other ground",14.7166666666336,1.5,0.3,0,0.186479566942618,-0.530461598226566,0.0347746288871064,0.281389507193083,324,25,2.89037175789616
"E04060-2000",7,4,3,"AM",0.3,0.3,1,3.5,"C2","LKT",0.583333333333333,"7","Air",3.66666666666667,0.03,0,1,-1.18744350237473,-0.53046159828285,1.41002207133195,0.281389507252795,49,16,1.09861228866811
"E04061-2000",7,4,3,"AM",0.1,0.1,1,3.43333333333333,"C1","LKT",0.53333333330022,"7","Air",4.26666666666667,0.1,0,1,-2.25379492882461,-0.619277332055001,5.07959158119555,0.383504413997161,49,16,1.09861228866811
"E04062-1999",13,5,18,"PM",0.1,0.1,1,1.06666666666667,"C2","AIR",0.183333333333333,"6","Air Tanker",1.06666666666667,0.1,0,1,-2.25379492882461,-1.66954183650381,5.07959158119555,2.7873699438365,169,25,2.89037175789616
"E04063-1999",16,6,4,"AM",0.2,0.2,1,3.7,"C2","LKT",14.5333333333333,"6","Air",8.98333333333333,0.2,0,1,-1.58474529984373,2.67678883921707,2.51141766537679,7.16519848975708,256,36,1.38629436111989
